,date,total_tp,country
194,2024-07-12,4.1392022e-06,PL
195,2024-07-13,6.679748e-05,PL
196,2024-07-14,0.0,PL
197,2024-07-15,0.0,PL
198,2024-07-16,0.0,PL
199,2024-07-17,0.0,PL
200,2024-07-18,3.5759876e-06,PL
201,2024-07-19,0.0,PL
202,2024-07-20,0.0,PL
203,2024-07-21,0.0,PL
204,2024-07-22,0.0,PL
205,2024-07-23,0.0,PL
206,2024-07-24,0.0,PL
207,2024-07-25,0.0,PL
208,2024-07-26,0.0,PL
209,2024-07-27,0.0,PL
210,2024-07-28,0.0,PL
211,2024-07-29,0.0,PL
212,2024-07-30,0.0,PL
213,2024-07-31,0.0,PL
214,2024-08-01,0.0,PL
215,2024-08-02,0.00012919852,PL
216,2024-08-03,3.5134144e-07,PL
217,2024-08-04,2.9057264e-05,PL
218,2024-08-05,0.0,PL
219,2024-08-06,0.0,PL
220,2024-08-07,0.0,PL
221,2024-08-08,0.0,PL
222,2024-08-09,0.00032774126,PL
223,2024-08-10,1.0769181e-06,PL
224,2024-08-11,6.995266e-05,PL
225,2024-08-12,0.00014905915,PL
226,2024-08-13,1.6963726e-05,PL
227,2024-08-14,2.4586916e-06,PL
228,2024-08-15,3.2883836e-05,PL
229,2024-08-16,0.00024655397,PL
230,2024-08-17,2.6172196e-05,PL
231,2024-08-18,4.4411504e-06,PL
232,2024-08-19,3.827922e-05,PL
233,2024-08-20,0.00021033997,PL
234,2024-08-21,1.7534323e-05,PL
235,2024-08-22,4.445089e-05,PL
236,2024-08-23,2.7567148e-06,PL
237,2024-08-24,0.0,PL
238,2024-08-25,0.0,PL
239,2024-08-26,1.293479e-05,PL
240,2024-08-27,0.0,PL
241,2024-08-28,1.756521e-05,PL
242,2024-08-29,0.0,PL
243,2024-08-30,6.757764e-07,PL
244,2024-08-31,9.799551e-06,PL
245,2024-09-01,0.0,PL
246,2024-09-02,0.0,PL
247,2024-09-03,0.0,PL
248,2024-09-04,0.0,PL
249,2024-09-05,0.0,PL
250,2024-09-06,0.0,PL
251,2024-09-07,0.0,PL
252,2024-09-08,0.0,PL
253,2024-09-09,0.0,PL
254,2024-09-10,0.0,PL
