,date,total_tp,country
181,2024-06-29,0.0,CZ
182,2024-06-30,0.0,CZ
183,2024-07-01,0.0,CZ
184,2024-07-02,0.0,CZ
185,2024-07-03,0.0,CZ
186,2024-07-04,0.0,CZ
187,2024-07-05,0.0,CZ
188,2024-07-06,0.0,CZ
189,2024-07-07,0.0,CZ
190,2024-07-08,0.0,CZ
191,2024-07-09,0.0,CZ
192,2024-07-10,4.04194e-07,CZ
193,2024-07-11,0.0,CZ
194,2024-07-12,4.215825e-05,CZ
195,2024-07-13,0.0,CZ
196,2024-07-14,0.0,CZ
197,2024-07-15,0.0,CZ
198,2024-07-16,0.0,CZ
199,2024-07-17,0.0,CZ
200,2024-07-18,2.44705e-06,CZ
201,2024-07-19,0.0,CZ
202,2024-07-20,0.0,CZ
203,2024-07-21,0.0,CZ
204,2024-07-22,0.0,CZ
205,2024-07-23,0.0,CZ
206,2024-07-24,0.0,CZ
207,2024-07-25,0.0,CZ
208,2024-07-26,0.0,CZ
209,2024-07-27,0.0,CZ
210,2024-07-28,0.0,CZ
211,2024-07-29,0.0,CZ
212,2024-07-30,0.0,CZ
213,2024-07-31,0.0,CZ
214,2024-08-01,0.0,CZ
215,2024-08-02,0.00020737946,CZ
216,2024-08-03,1.6285107e-05,CZ
217,2024-08-04,0.0,CZ
218,2024-08-05,0.0,CZ
219,2024-08-06,5.8133155e-06,CZ
220,2024-08-07,0.0,CZ
221,2024-08-08,0.0,CZ
222,2024-08-09,1.634995e-06,CZ
223,2024-08-10,0.0,CZ
224,2024-08-11,0.00042342988,CZ
225,2024-08-12,0.00037890478,CZ
226,2024-08-13,0.0002165703,CZ
227,2024-08-14,7.227787e-06,CZ
228,2024-08-15,8.7114226e-05,CZ
229,2024-08-16,5.354348e-06,CZ
230,2024-08-17,6.9905072e-06,CZ
231,2024-08-18,1.0265503e-05,CZ
232,2024-08-19,1.1086464e-05,CZ
233,2024-08-20,0.00047678672,CZ
234,2024-08-21,8.574501e-05,CZ
235,2024-08-22,0.00050712284,CZ
236,2024-08-23,5.148351e-06,CZ
237,2024-08-24,1.1979253e-05,CZ
238,2024-08-25,0.0,CZ
239,2024-08-26,0.0,CZ
240,2024-08-27,2.940814e-05,CZ
241,2024-08-28,1.8189065e-05,CZ
242,2024-08-29,0.0,CZ
243,2024-08-30,2.9443763e-06,CZ
244,2024-08-31,0.0002224033,CZ
245,2024-09-01,0.0,CZ
246,2024-09-02,0.0,CZ
247,2024-09-03,2.312252e-06,CZ
248,2024-09-04,0.0,CZ
249,2024-09-05,0.0,CZ
250,2024-09-06,1.1874363e-06,CZ
251,2024-09-07,0.0,CZ
252,2024-09-08,0.0,CZ
253,2024-09-09,0.0,CZ
254,2024-09-10,0.0,CZ
255,2024-09-11,0.0,CZ
256,2024-09-12,0.0,CZ
257,2024-09-13,0.0,CZ
258,2024-09-14,0.0,CZ
259,2024-09-15,0.0,CZ
260,2024-09-16,0.0,CZ
261,2024-09-17,0.0,CZ
262,2024-09-18,0.0,CZ
263,2024-09-19,0.0,CZ
264,2024-09-20,0.0,CZ
265,2024-09-21,0.0,CZ
266,2024-09-22,0.0,CZ
267,2024-09-23,0.0,CZ
268,2024-09-24,0.0,CZ
269,2024-09-25,0.0,CZ
270,2024-09-26,0.0,CZ
271,2024-09-27,0.0,CZ
272,2024-09-28,0.0,CZ
273,2024-09-29,0.0,CZ
274,2024-09-30,0.0,CZ
275,2024-10-01,0.0,CZ
276,2024-10-02,0.0,CZ
277,2024-10-03,0.0,CZ
278,2024-10-04,0.0,CZ
279,2024-10-05,0.0,CZ
280,2024-10-06,0.0,CZ
281,2024-10-07,0.0,CZ
282,2024-10-08,0.0,CZ
283,2024-10-09,0.0,CZ
284,2024-10-10,0.0,CZ
285,2024-10-11,0.0,CZ
286,2024-10-12,0.0,CZ
287,2024-10-13,0.0,CZ
288,2024-10-14,0.0,CZ
289,2024-10-15,0.0,CZ
290,2024-10-16,0.0,CZ
291,2024-10-17,0.0,CZ
292,2024-10-18,0.0,CZ
293,2024-10-19,0.0006223004,CZ
294,2024-10-20,0.0,CZ
295,2024-10-21,0.0,CZ
296,2024-10-22,0.0,CZ
297,2024-10-23,6.2584877e-06,CZ
298,2024-10-24,4.0878076e-06,CZ
299,2024-10-25,0.0,CZ
300,2024-10-26,0.0,CZ
301,2024-10-27,0.0,CZ
302,2024-10-28,0.0,CZ
303,2024-10-29,0.0,CZ
304,2024-10-30,0.0,CZ
305,2024-10-31,0.0,CZ
306,2024-11-01,0.0,CZ
307,2024-11-02,0.0,CZ
308,2024-11-03,0.0,CZ
309,2024-11-04,0.0,CZ
310,2024-11-05,0.0,CZ
311,2024-11-06,0.0,CZ
312,2024-11-07,0.0,CZ
313,2024-11-08,0.0,CZ
314,2024-11-09,0.0,CZ
315,2024-11-10,0.0,CZ
316,2024-11-11,0.0,CZ
317,2024-11-12,0.0,CZ
318,2024-11-13,0.0,CZ
319,2024-11-14,0.0,CZ
320,2024-11-15,0.0,CZ
321,2024-11-16,0.0,CZ
322,2024-11-17,0.0,CZ
323,2024-11-18,0.0,CZ
324,2024-11-19,0.0,CZ
325,2024-11-20,0.0,CZ
326,2024-11-21,2.6922673e-05,CZ
327,2024-11-22,0.0,CZ
328,2024-11-23,0.0,CZ
329,2024-11-24,0.0,CZ
330,2024-11-25,0.0,CZ
331,2024-11-26,0.0,CZ
332,2024-11-27,0.0,CZ
333,2024-11-28,0.0,CZ
334,2024-11-29,0.0,CZ
335,2024-11-30,0.0,CZ
336,2024-12-01,0.0,CZ
337,2024-12-02,0.0,CZ
338,2024-12-03,0.0,CZ
339,2024-12-04,0.0,CZ
340,2024-12-05,0.0,CZ
341,2024-12-06,0.0,CZ
342,2024-12-07,0.0,CZ
343,2024-12-08,0.0,CZ
344,2024-12-09,0.0,CZ
345,2024-12-10,0.0,CZ
346,2024-12-11,0.0,CZ
347,2024-12-12,0.0,CZ
348,2024-12-13,0.0,CZ
349,2024-12-14,0.0,CZ
350,2024-12-15,0.0,CZ
351,2024-12-16,0.0,CZ
352,2024-12-17,0.0,CZ
353,2024-12-18,0.0,CZ
354,2024-12-19,0.0,CZ
355,2024-12-20,0.0,CZ
356,2024-12-21,0.0,CZ
357,2024-12-22,0.0,CZ
358,2024-12-23,0.0,CZ
359,2024-12-24,0.0,CZ
360,2024-12-25,0.0,CZ
361,2024-12-26,0.0,CZ
362,2024-12-27,0.0,CZ
363,2024-12-28,0.0,CZ
364,2024-12-29,0.0,CZ
365,2024-12-30,0.0,CZ
366,2024-12-31,0.0,CZ
367,2025-01-01,0.0,CZ
