C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2022-08-01T00:00:00.000Z,1.1515748500823975,2.635826826095581,1.6676746391165131,0.24506134772431315,3016,1214,1.6122047901153564,1.4074803590774536,2.021653652191162
2022-08-02T00:00:00.000Z,1.0748032331466675,2.8149607181549072,1.6452574341968171,0.2748848236218023,3016,1243,1.5610237121582031,1.3562992811203003,2.047244071960449
2022-08-03T00:00:00.000Z,1.0236220359802246,2.4311025142669678,1.5102319904643553,0.23196224431949905,3016,1176,1.458661437034607,1.253937005996704,1.842519760131836
2022-08-04T00:00:00.000Z,1.4330708980560303,2.7125985622406006,2.0124796321557006,0.2399968766706812,3016,2857,2.021653652191162,1.6633858680725098,2.328740119934082
2022-08-05T00:00:00.000Z,1.1003937721252441,2.5846457481384277,1.590369358205275,0.2457257768186156,3016,1176,1.5354331731796265,1.3307087421417236,1.9448819160461426
2022-08-06T00:00:00.000Z,1.0748032331466675,2.635826826095581,1.612538562455903,0.26684108684875013,3016,1176,1.5354331731796265,1.3307087421417236,1.9960631132125854
2022-08-07T00:00:00.000Z,0.9980315566062927,2.3543307781219482,1.4761019813625735,0.23441178791925601,3016,1176,1.4074803590774536,1.2283464670181274,1.8169292211532593
2022-08-08T00:00:00.000Z,1.1003937721252441,2.763779640197754,1.6588126611994505,0.27621443187451145,3016,1175,1.5610237121582031,1.381889820098877,2.0728347301483154
2022-08-09T00:00:00.000Z,1.0236220359802246,2.3543307781219482,1.510996297803149,0.2227863173494164,3016,1175,1.458661437034607,1.253937005996704,1.8169292211532593
2022-08-10T00:00:00.000Z,1.1515748500823975,2.507874011993408,1.567649288604947,0.23021726883210597,3016,1220,1.5098425149917603,1.305118203163147,1.8937008380889893
2022-08-11T00:00:00.000Z,0.9980315566062927,2.2775590419769287,1.4738962507519877,0.22658300849607346,3016,1175,1.4074803590774536,1.2283464670181274,1.8169292211532593
2022-08-12T00:00:00.000Z,1.0492125749588013,2.610236406326294,1.5932307930370841,0.2640258000702428,3016,1175,1.5098425149917603,1.305118203163147,1.9960631132125854
2022-08-14T00:00:00.000Z,1.0236220359802246,2.507874011993408,1.55961973695636,0.24834709969346946,3016,1175,1.4842519760131836,1.305118203163147,1.919291377067566
2022-08-15T00:00:00.000Z,0.9468504190444946,2.149606466293335,1.439997045145085,0.2345634511737623,3016,1176,1.381889820098877,1.1771653890609741,1.7913386821746826
2022-08-16T00:00:00.000Z,1.0492125749588013,2.6870079040527344,1.6724525172713387,0.30231533322931053,3016,1410,1.6122047901153564,1.3307087421417236,2.0984251499176025
2022-08-17T00:00:00.000Z,1.2283464670181274,2.3543307781219482,1.5352554060518744,0.1862164840488413,3016,2728,1.4842519760131836,1.3562992811203003,1.7913386821746826
2022-08-18T00:00:00.000Z,1.0748032331466675,2.2263779640197754,1.4963517541151796,0.22295627650928232,3016,2041,1.458661437034607,1.253937005996704,1.842519760131836
2022-08-19T00:00:00.000Z,0.9724409580230713,2.175196886062622,1.4315376363223102,0.2071939993498714,3016,1831,1.4074803590774536,1.2027559280395508,1.714566946029663
2022-08-20T00:00:00.000Z,1.1259843111038208,2.3543307781219482,1.6023502709114397,0.24733619493249237,3016,2359,1.5866142511367798,1.2795275449752808,1.9448819160461426
2022-08-21T00:00:00.000Z,1.2027559280395508,2.6614174842834473,1.751832926073554,0.27863135836229386,3016,2479,1.7401574850082397,1.4074803590774536,2.1240158081054688
2022-08-22T00:00:00.000Z,0.9980315566062927,2.2519686222076416,1.4853960614344652,0.21016959231545135,3016,2166,1.458661437034607,1.2283464670181274,1.765748143196106
2022-08-23T00:00:00.000Z,0.9468504190444946,2.0728347301483154,1.3919838580347232,0.20890986384463958,3016,1756,1.3562992811203003,1.1515748500823975,1.6889764070510864
2022-08-24T00:00:00.000Z,1.0236220359802246,2.328740119934082,1.5785254591828446,0.2398479780485699,3016,2301,1.5610237121582031,1.2795275449752808,1.919291377067566
2022-08-25T00:00:00.000Z,1.1771653890609741,2.635826826095581,1.7430519773031259,0.2691917752475896,3016,2459,1.714566946029663,1.4074803590774536,2.1240158081054688
2022-08-26T00:00:00.000Z,1.1259843111038208,2.2519686222076416,1.563512722288825,0.20298091527541315,3016,2029,1.5610237121582031,1.305118203163147,1.842519760131836
2022-08-27T00:00:00.000Z,0.9980315566062927,2.1240158081054688,1.437794557352756,0.18491998636501586,3016,1472,1.4330708980560303,1.2027559280395508,1.6889764070510864
2022-08-28T00:00:00.000Z,1.1259843111038208,2.456692934036255,1.6589634350202602,0.20832822899014258,3016,1986,1.637795329093933,1.381889820098877,1.9448819160461426
2022-08-29T00:00:00.000Z,1.1515748500823975,2.5590550899505615,1.6651594832096934,0.23402949242684498,3016,2208,1.637795329093933,1.381889820098877,1.9960631132125854
2022-08-30T00:00:00.000Z,1.1515748500823975,2.2519686222076416,1.5727501297717832,0.19008230450669394,3016,1759,1.5610237121582031,1.3307087421417236,1.8169292211532593
