C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2024-08-30T00:00:00.000Z,2.2775590419769287,4.196850299835205,3.0803045836691605,0.3406510716637965,3922,3659,3.070866346359253,2.6614174842834473,3.5059056282043457
2024-08-31T00:00:00.000Z,1.8681102991104126,3.531496286392212,2.796177750420801,0.2856385827078247,3922,2892,2.8149607181549072,2.4055118560791016,3.1220474243164062
2024-09-01T00:00:00.000Z,2.047244071960449,3.3523623943328857,2.6802186528030707,0.2506165760185382,3922,3873,2.6870079040527344,2.4055118560791016,2.94291353225708
2024-09-03T00:00:00.000Z,1.458661437034607,3.6594488620758057,2.7191045799497786,0.28515169628192316,3922,2034,2.7381889820098877,2.3543307781219482,3.070866346359253
2024-09-04T00:00:00.000Z,1.2795275449752808,3.429133892059326,2.6865377872947676,0.29523024809128484,3922,2017,2.7125985622406006,2.303149700164795,3.0452756881713867
2024-09-05T00:00:00.000Z,2.021653652191162,3.9409449100494385,2.8722470947491243,0.2971593845871885,3922,2434,2.8661417961120605,2.482283592224121,3.275590658187866
2024-09-06T00:00:00.000Z,2.4055118560791016,3.377952814102173,2.816560104489327,0.242008162849095,3922,3890,2.789370059967041,2.5590550899505615,3.1220474243164062
2024-09-07T00:00:00.000Z,2.5590550899505615,3.275590658187866,2.797900358835856,0.23624145322025591,3922,3916,2.8149607181549072,2.610236406326294,3.275590658187866
2024-09-08T00:00:00.000Z,1.3562992811203003,3.4547245502471924,2.6654877118238294,0.31687619881522416,3922,2017,2.6870079040527344,2.2519686222076416,3.0452756881713867
2024-09-09T00:00:00.000Z,1.4330708980560303,3.838582754135132,2.674912319010361,0.3525422762288495,3922,2020,2.6614174842834473,2.2263779640197754,3.1220474243164062
2024-09-10T00:00:00.000Z,1.8169292211532593,4.29921293258667,3.0489506115747056,0.41141433589302945,3922,2202,3.070866346359253,2.507874011993408,3.5826773643493652
2024-09-11T00:00:00.000Z,1.765748143196106,3.5826773643493652,2.6577068457570303,0.30710928051186215,3922,2053,2.6870079040527344,2.2519686222076416,3.0452756881713867
2024-09-12T00:00:00.000Z,1.1259843111038208,3.377952814102173,2.6324550773215125,0.31231467366099375,3922,2017,2.6614174842834473,2.2007875442504883,3.0196850299835205
2024-09-13T00:00:00.000Z,1.2795275449752808,3.531496286392212,2.615917106040963,0.3130485252690128,3922,2021,2.635826826095581,2.2007875442504883,3.0196850299835205
2024-09-14T00:00:00.000Z,1.637795329093933,4.145669460296631,2.843741675479235,0.4123343714904254,3922,2021,2.8661417961120605,2.2775590419769287,3.377952814102173
2024-09-15T00:00:00.000Z,1.3307087421417236,3.5059056282043457,2.625402566454227,0.32319708173345746,3922,2017,2.6614174842834473,2.2007875442504883,3.0196850299835205
2024-09-16T00:00:00.000Z,1.5866142511367798,3.5059056282043457,2.67794821766399,0.28409794688443024,3922,2730,2.7125985622406006,2.328740119934082,3.0452756881713867
2024-09-17T00:00:00.000Z,1.5354331731796265,4.580708980560303,2.8786925988592147,0.476641130744995,3922,3294,2.8405513763427734,2.2775590419769287,3.557086706161499
2024-09-18T00:00:00.000Z,1.6122047901153564,4.990157604217529,2.579874628428688,0.5309596593565615,3922,3450,2.507874011993408,1.9960631132125854,3.3523623943328857
2024-09-19T00:00:00.000Z,1.3307087421417236,3.3523623943328857,1.8966041035819488,0.3382301269351092,3922,2212,1.8169292211532593,1.5354331731796265,2.3799214363098145
2024-09-20T00:00:00.000Z,1.5866142511367798,3.557086706161499,2.2251917013269376,0.35417705393687793,3922,3469,2.2007875442504883,1.7913386821746826,2.6614174842834473
2024-09-21T00:00:00.000Z,1.3307087421417236,3.429133892059326,1.998307836566983,0.30711582586073577,3922,2896,1.919291377067566,1.6889764070510864,2.4311025142669678
2024-09-22T00:00:00.000Z,1.5610237121582031,3.1988189220428467,2.02723698832772,0.2551455493285692,3922,3757,1.9704724550247192,1.765748143196106,2.4055118560791016
2024-09-23T00:00:00.000Z,1.2027559280395508,3.224409580230713,1.9196985542739087,0.29559733092279833,3922,2225,1.842519760131836,1.637795329093933,2.328740119934082
2024-09-26T00:00:00.000Z,1.2795275449752808,2.968503952026367,1.8781715356386621,0.31837936599281935,3922,3805,1.8169292211532593,1.5354331731796265,2.2775590419769287
2024-09-27T00:00:00.000Z,1.5354331731796265,3.4547245502471924,1.984165688774041,0.3383033782713766,3922,3352,1.8937008380889893,1.6633858680725098,2.4055118560791016
2024-09-28T00:00:00.000Z,1.3562992811203003,3.5826773643493652,2.1967918060107214,0.3874704712537731,3922,3083,2.149606466293335,1.765748143196106,2.763779640197754
2024-09-29T00:00:00.000Z,1.253937005996704,3.25,1.971689553977421,0.28577009410850546,3922,2345,1.919291377067566,1.6633858680725098,2.3543307781219482
